M1,M2,M3,Datetime
675,648,674,5
680,653,680,5
675,648,674,5
677,650,680,5
677,650,677,5
678,650,677,5
678,651,678,5
676,649,678,5
677,648,675,5
677,651,677,5
681,653,680,5
678,653,679,5
676,649,676,5
677,649,675,5
675,649,675,5
677,650,678,5
675,649,675,6
675,648,675,6
679,653,680,6
679,653,680,6
677,650,678,6
677,649,676,6
677,648,675,6
676,649,676,6
679,653,679,6
678,651,678,6
675,648,674,6
677,649,675,6
676,650,676,6
676,649,677,6
680,652,680,6
675,648,675,6
675,648,675,6
676,648,675,6
678,651,678,6
677,650,677,6
675,648,674,7
676,648,675,7
676,648,675,7
675,647,675,7
675,648,675,7
678,651,677,7
675,648,675,7
675,648,675,7
675,650,680,7
677,650,676,7
677,648,676,7
676,650,678,7
678,648,677,7
677,649,676,7
676,650,677,7
675,648,675,7
675,648,675,7
676,650,676,7
677,650,678,7
675,648,675,7
676,648,675,8
675,650,675,8
677,649,677,8
675,649,675,8
676,648,675,8
676,648,675,8
675,648,674,8
676,650,677,8
676,649,676,8
678,651,678,8
677,650,680,8
677,650,676,8
677,649,676,8
678,650,678,8
681,654,680,8
677,651,676,8
678,650,676,8
681,653,680,8
677,650,677,8
679,651,677,8
677,649,677,9
677,650,676,9
679,653,679,9
679,651,679,9
679,651,678,9
679,652,679,9
677,650,677,9
679,651,678,9
677,649,676,9
678,652,679,9
679,652,678,9
678,651,678,9
681,654,681,9
680,654,680,9
677,650,678,9
676,650,677,9
677,650,677,9
677,651,678,9
679,653,679,9
677,650,677,9
678,652,678,10
679,652,680,10
678,652,679,10
677,649,676,10
680,651,677,10
679,651,679,10
676,649,676,10
677,650,679,10
678,651,678,10
678,651,680,10
677,651,678,10
678,651,678,10
679,650,677,10
678,651,679,10
679,651,678,10
676,649,677,10
679,651,677,10
678,651,679,10
679,652,678,10
679,652,680,10
677,651,678,11
676,649,678,11
676,649,676,11
677,651,678,11
676,650,677,11
677,650,678,11
680,652,679,11
676,650,676,11
678,651,679,11
677,650,678,11
677,651,678,11
679,652,679,11
676,650,678,11
678,653,681,11
677,651,678,11
678,653,679,11
677,651,679,11
675,648,677,11
677,651,678,11
675,650,677,11
676,650,678,12
677,651,679,12
677,650,678,12
676,650,677,12
677,651,679,12
678,652,678,12
679,654,680,12
678,653,680,12
675,650,679,12
676,650,678,12
677,652,679,12
677,652,679,12
678,653,681,12
675,649,677,12
676,651,678,12
677,652,679,12
676,650,680,12
678,653,679,12
675,650,677,12
675,649,676,12
675,651,678,13
677,651,679,13
674,651,677,13
676,650,678,13
674,650,678,13
673,649,676,13
676,652,679,13
672,649,676,13
673,649,679,13
676,651,678,13
673,650,676,13
674,651,678,13
675,651,679,13
673,649,677,13
673,650,677,13
675,653,678,13
675,651,678,13
672,649,677,13
675,654,680,13
675,651,679,13
674,650,677,14
672,649,676,14
673,649,676,14
673,651,679,14
674,651,678,14
676,653,680,14
671,648,676,14
672,649,677,14
670,648,674,14
672,649,676,14
671,648,675,14
672,650,678,14
671,648,675,14
671,648,675,14
670,648,675,14
673,651,679,14
670,648,677,14
672,649,677,14
670,648,675,14
671,647,676,14
670,648,674,15
672,650,677,15
675,652,680,15
670,647,675,15
671,649,676,15
672,650,677,15
673,651,677,15
669,648,675,15
670,648,675,15
669,647,676,15
671,649,676,15
669,648,674,15
672,650,676,15
669,650,675,15
672,652,679,15
668,648,675,15
671,648,675,15
668,649,675,15
672,648,676,15
669,647,675,15
668,649,675,16
669,649,676,16
668,649,676,16
672,652,680,16
669,648,675,16
668,649,677,16
670,651,679,16
668,647,675,16
668,650,677,16
668,649,676,16
669,650,679,16
667,649,678,16
670,651,678,16
673,654,681,16
670,652,680,16
667,649,676,16
670,651,678,16
669,648,675,16
667,649,676,16
667,650,677,16
665,647,674,17
665,647,675,17
667,649,677,17
668,649,677,17
665,647,676,17
666,648,675,17
667,648,675,17
670,652,679,17
670,653,678,17
667,649,676,17
666,648,674,17
666,649,676,17
668,651,678,17
668,650,678,17
665,647,675,17
665,650,677,17
667,650,677,17
666,649,676,17
667,650,676,17
664,648,676,17
666,650,676,18
668,650,678,18
665,648,678,18
666,649,676,18
664,648,674,18
670,649,679,18
663,649,680,18
664,647,675,18
665,648,675,18
664,647,678,18
663,647,675,18
666,650,678,18
669,652,680,18
665,649,679,18
666,648,677,18
664,647,675,18
666,649,677,18
662,648,678,18
664,648,675,18
664,648,675,18
665,650,679,19
663,647,676,19
663,647,675,19
663,647,675,19
665,649,678,19
663,647,675,19
663,647,675,19
662,647,675,19
663,648,676,19
665,651,678,19
665,650,675,19
664,647,675,19
663,647,675,19
